Company,Product Name,Product Category,Customer ID,Product ID,Date,Quantity,Total Cost (USD),State,Month,Year
Puma,RS-X³ Puzzle,Apparel,YK5W9LYB,PROD9306,2023-08-20,3,656.76,Nebraska,2023-08,2023
Adidas,Ultraboost 21,Apparel,0OTSH887,PROD4914,2023-10-27,1,201.17,Utah,2023-10,2023
Nike,Pegasus 39,Apparel,FDD4X5B4,PROD9327,2023-06-28,4,603.32,Nevada,2023-06,2023
Puma,Cali Star Metallic,Footwear,HFJOP8OV,PROD9725,2023-04-18,2,560.73,Michigan,2023-04,2023
Nike,ZoomX Vaporfly,Apparel,MP9KF56D,PROD2471,2023-09-20,3,374.09,Alabama,2023-09,2023
Adidas,Superstar,Apparel,5PZ4HZ0V,PROD2269,2023-11-28,5,973.08,Pennsylvania,2023-11,2023
Adidas,Superstar,Apparel,1YGRSNYN,PROD8441,2023-08-26,2,245.12,Rhode Island,2023-08,2023
Puma,Ignite Flash,Accessories,L2S8YFOG,PROD3697,2023-03-25,5,854.14,Minnesota,2023-03,2023
Puma,Suede Classic,Accessories,YVO8K4H8,PROD7557,2023-03-22,2,542.85,Montana,2023-03,2023
Puma,Suede Classic,Equipment,RCF2DFKY,PROD2625,2023-08-28,4,582.35,Illinois,2023-08,2023
Under Armour,HOVR Phantom 2,Accessories,7QZ5KNM0,PROD2984,2023-10-28,5,903.42,North Carolina,2023-10,2023
Nike,Metcon 7,Accessories,PRTH7B9F,PROD3514,2023-04-22,2,521.23,Virginia,2023-04,2023
Puma,Cali Star Metallic,Footwear,TC74DJ5Q,PROD5584,2023-08-21,3,296.92,Nevada,2023-08,2023
Puma,Cali Star Metallic,Equipment,UGJJZSER,PROD9463,2023-05-27,1,51.15,Indiana,2023-05,2023
Under Armour,Charged Assert 9,Accessories,BFMQ2M59,PROD1289,2023-01-07,3,469.59,Arkansas,2023-01,2023
Adidas,Superstar,Apparel,OXI2Z4ZT,PROD7347,2023-05-16,5,483.8,Oregon,2023-05,2023
Puma,Suede Classic,Apparel,SQYH9MWX,PROD7110,2023-01-02,2,141.71,Utah,2023-01,2023
Nike,Air Max 270,Footwear,5G0OH3FQ,PROD8153,2023-09-27,4,1033.96,Wyoming,2023-09,2023
Under Armour,Project Rock,Footwear,QZQFT0CG,PROD5298,2023-01-25,1,262.08,Massachusetts,2023-01,2023
Nike,ZoomX Vaporfly,Apparel,3KMG3RH9,PROD8153,2023-07-25,1,206.38,Louisiana,2023-07,2023
Under Armour,UA RUSH,Footwear,I9HW71YZ,PROD2429,2023-01-15,5,673.91,North Dakota,2023-01,2023
Under Armour,Charged Assert 9,Footwear,NQFAZ7DW,PROD3186,2023-09-28,5,347.04,Wisconsin,2023-09,2023
Adidas,Superstar,Equipment,QF31BAH5,PROD1897,2023-05-06,5,619.45,Ohio,2023-05,2023
Under Armour,Project Rock,Footwear,22V768XH,PROD6013,2023-01-06,2,214.24,Mississippi,2023-01,2023
Nike,Air Max 270,Equipment,RA97PXH0,PROD3840,2023-08-01,2,117.51,New Hampshire,2023-08,2023
Puma,Ignite Flash,Footwear,B93K5BZD,PROD8036,2023-03-01,4,756.4,Alabama,2023-03,2023
Nike,Metcon 7,Footwear,7A8MUTJC,PROD9571,2023-03-10,4,547.64,Virginia,2023-03,2023
Puma,Cali Star Metallic,Accessories,K6Z77WJ2,PROD8215,2023-08-04,1,65.3,Illinois,2023-08,2023
Under Armour,Charged Assert 9,Accessories,6UQEHW8X,PROD9148,2023-01-08,4,911.46,Arkansas,2023-01,2023
Adidas,Gazelle,Apparel,ERWY2T8B,PROD6638,2023-11-15,2,439.87,Delaware,2023-11,2023
Under Armour,Charged Assert 9,Footwear,5ALK89RX,PROD5517,2023-01-21,3,376.93,New Hampshire,2023-01,2023
Under Armour,UA RUSH,Footwear,UWQUO9ZR,PROD1681,2023-01-05,5,1232.17,Pennsylvania,2023-01,2023
Nike,ZoomX Vaporfly,Apparel,IJVOAS4L,PROD2571,2023-08-13,3,374.96,Washington,2023-08,2023
Under Armour,Project Rock,Apparel,LKLO4NS2,PROD9683,2023-08-02,1,151.38,South Dakota,2023-08,2023
Adidas,Superstar,Apparel,DBICH2DI,PROD3947,2023-05-01,1,251.67,New York,2023-05,2023
Adidas,NMD_R1,Footwear,WM1CJRA5,PROD4944,2023-10-13,2,106.24,Pennsylvania,2023-10,2023
Adidas,Ultraboost 21,Footwear,EQLWE979,PROD2246,2023-03-06,2,304.12,Maine,2023-03,2023
Under Armour,Charged Assert 9,Apparel,3W798VTT,PROD9568,2023-04-27,1,108.7,Connecticut,2023-04,2023
Under Armour,Project Rock,Accessories,DY0KVRNJ,PROD3685,2023-12-27,1,72.21,Colorado,2023-12,2023
Nike,ZoomX Vaporfly,Footwear,E1D26BSX,PROD1626,2023-02-04,1,270.77,Nebraska,2023-02,2023
Puma,Cali Star Metallic,Accessories,M8Y92Y9J,PROD1726,2023-10-26,1,55.7,New Jersey,2023-10,2023
Nike,Metcon 7,Apparel,J7J8NDSU,PROD8084,2023-04-05,2,555.7,West Virginia,2023-04,2023
Puma,Ignite Flash,Apparel,R9PJZHHM,PROD4770,2023-11-14,1,186.04,Rhode Island,2023-11,2023
Nike,ZoomX Vaporfly,Footwear,TR8VG831,PROD8053,2023-07-17,4,234.1,New Hampshire,2023-07,2023
Puma,Ignite Flash,Equipment,D6QRT3FZ,PROD1978,2023-10-08,2,117.37,North Dakota,2023-10,2023
Adidas,NMD_R1,Apparel,J0CEWSO9,PROD9622,2023-06-18,5,1359.45,Wisconsin,2023-06,2023
Puma,Cali Star Metallic,Accessories,Y1WEE2TZ,PROD4523,2023-03-04,3,852.9,Nebraska,2023-03,2023
Adidas,Ultraboost 21,Accessories,EVX02ZSE,PROD3989,2023-06-06,4,1118.35,Rhode Island,2023-06,2023
Nike,Pegasus 39,Accessories,TJRJW0C2,PROD9442,2023-12-21,2,265.02,Wisconsin,2023-12,2023
Adidas,Ultraboost 21,Equipment,0S3QL94V,PROD3561,2023-12-23,5,1113.18,Delaware,2023-12,2023
Adidas,Gazelle,Accessories,TEWQNMFW,PROD6725,2023-06-22,4,1171.92,Michigan,2023-06,2023
Nike,Air Max 270,Apparel,63FHVA3R,PROD6681,2023-01-08,1,225.31,Minnesota,2023-01,2023
Nike,Metcon 7,Accessories,FLJ085M6,PROD1426,2023-06-08,2,241.29,Idaho,2023-06,2023
Puma,RS-X³ Puzzle,Accessories,KP7I97PO,PROD6708,2023-02-19,4,1166.37,Wyoming,2023-02,2023
Adidas,Gazelle,Accessories,DS8T9XJT,PROD7500,2023-04-23,2,396.26,Oregon,2023-04,2023
Nike,Metcon 7,Equipment,L6KU1S3I,PROD4060,2023-07-03,3,365.49,Oklahoma,2023-07,2023
Puma,Ignite Flash,Accessories,BWYL1XGE,PROD5960,2023-08-11,5,856.75,Virginia,2023-08,2023
Under Armour,Charged Assert 9,Footwear,GC2PN7HV,PROD8462,2023-10-20,2,475.95,Arkansas,2023-10,2023
Nike,Air Max 270,Apparel,NRO8QAFO,PROD3959,2023-02-11,5,1147.2,Florida,2023-02,2023
Nike,ZoomX Vaporfly,Footwear,RP1QTLD8,PROD7282,2023-11-12,5,1408.9,Texas,2023-11,2023
Puma,Cali Star Metallic,Accessories,PRJSGWUO,PROD9967,2023-04-07,2,180.28,North Dakota,2023-04,2023
Puma,Ignite Flash,Equipment,KIXBIP03,PROD2799,2023-06-26,4,638.43,New Jersey,2023-06,2023
Puma,RS-X³ Puzzle,Apparel,9XB5HK3S,PROD1312,2023-03-10,3,398.25,California,2023-03,2023
Nike,Air Max 270,Footwear,6L2P1M5I,PROD5650,2023-09-26,5,1363.65,North Dakota,2023-09,2023
Under Armour,Charged Assert 9,Equipment,V8FV5SBG,PROD4040,2023-06-01,2,115.66,Pennsylvania,2023-06,2023
Under Armour,HOVR Phantom 2,Apparel,UTPKZRYC,PROD5694,2023-12-24,5,1335.23,Oklahoma,2023-12,2023
Puma,RS-X³ Puzzle,Footwear,OLVLQ1I2,PROD4622,2023-12-22,4,955.17,New Hampshire,2023-12,2023
Adidas,NMD_R1,Apparel,ZIJPX8N1,PROD4980,2023-06-07,5,436.75,Kentucky,2023-06,2023
Puma,RS-X³ Puzzle,Footwear,C273CFBB,PROD5145,2023-12-25,4,530.4,New Hampshire,2023-12,2023
Under Armour,Project Rock,Footwear,7VCJO0NN,PROD4214,2023-07-09,5,953.78,Montana,2023-07,2023
Nike,ZoomX Vaporfly,Accessories,1LBIRC8O,PROD5754,2023-11-15,1,133.21,Michigan,2023-11,2023
Puma,Suede Classic,Footwear,BH0GKCSN,PROD7388,2023-02-09,5,1032.36,Connecticut,2023-02,2023
Puma,Cali Star Metallic,Equipment,WBK88IBZ,PROD5807,2023-02-08,1,240.1,Connecticut,2023-02,2023
Puma,RS-X³ Puzzle,Apparel,R4KR37G2,PROD9853,2023-08-06,4,979.5,Oregon,2023-08,2023
Adidas,Superstar,Apparel,9CELU9G1,PROD7111,2023-12-14,4,1012.23,Nevada,2023-12,2023
Nike,ZoomX Vaporfly,Equipment,GF3AVWYB,PROD4808,2023-06-28,2,571.19,Kentucky,2023-06,2023
Nike,ZoomX Vaporfly,Footwear,EVK5LMJT,PROD1322,2023-03-18,2,348.74,Louisiana,2023-03,2023
Nike,Metcon 7,Footwear,HMDZPXAW,PROD5173,2023-03-08,5,565.33,Indiana,2023-03,2023
Puma,Cali Star Metallic,Accessories,PCC1ZEQ7,PROD7415,2023-09-17,4,212.73,Kentucky,2023-09,2023
Nike,Metcon 7,Equipment,H43U6IBU,PROD7701,2023-09-18,5,1137.4,South Carolina,2023-09,2023
Puma,Ignite Flash,Equipment,P5RCS45R,PROD8320,2023-03-07,5,833.27,California,2023-03,2023
Adidas,Superstar,Accessories,4EA494PH,PROD7487,2023-11-27,3,186.51,New York,2023-11,2023
Nike,Air Max 270,Accessories,JGI1TC0A,PROD9848,2023-08-15,2,357.32,Connecticut,2023-08,2023
Adidas,Gazelle,Equipment,XY661V6U,PROD4683,2023-09-15,4,474.85,Oklahoma,2023-09,2023
Under Armour,HOVR Phantom 2,Equipment,X6YI8GOD,PROD8381,2023-09-16,1,98.28,Kentucky,2023-09,2023
Nike,Pegasus 39,Apparel,S3LPF6H9,PROD1609,2023-05-15,2,478.18,New Jersey,2023-05,2023
Under Armour,HOVR Phantom 2,Apparel,XW0012D2,PROD4395,2023-01-07,3,642.53,New York,2023-01,2023
Adidas,Ultraboost 21,Accessories,Q3MZ6HG1,PROD5705,2023-09-06,2,512.28,New Jersey,2023-09,2023
Under Armour,Charged Assert 9,Equipment,Z9C3TMFT,PROD5996,2023-02-14,3,475.5,New Hampshire,2023-02,2023
Adidas,Superstar,Apparel,66Y1JVQA,PROD1521,2023-06-06,5,1443.99,Connecticut,2023-06,2023
Nike,Metcon 7,Footwear,GAHK7F7W,PROD6305,2023-08-17,3,722.26,Pennsylvania,2023-08,2023
Nike,Pegasus 39,Accessories,WZ8ABTS2,PROD5523,2023-04-08,4,389.18,Iowa,2023-04,2023
Nike,Pegasus 39,Equipment,LV9MBZ1B,PROD2094,2023-03-16,3,630.94,Delaware,2023-03,2023
Puma,Ignite Flash,Equipment,HC4TPLDH,PROD1583,2023-02-16,4,1184.53,Utah,2023-02,2023
Nike,ZoomX Vaporfly,Footwear,UJB2CN46,PROD8762,2023-06-13,2,248.17,Vermont,2023-06,2023
Adidas,Gazelle,Equipment,RZZMGUES,PROD8129,2023-01-15,1,267.75,Kansas,2023-01,2023
Adidas,Gazelle,Accessories,0Y2FBLH8,PROD2399,2023-07-04,3,500.07,Texas,2023-07,2023
Under Armour,Charged Assert 9,Footwear,3OV008OC,PROD5239,2023-12-18,1,115.37,Washington,2023-12,2023
Under Armour,UA RUSH,Accessories,9W49FU2R,PROD6197,2023-12-11,1,115.65,West Virginia,2023-12,2023
Puma,Cali Star Metallic,Footwear,QYNEMP1H,PROD4345,2023-03-15,4,982.94,Rhode Island,2023-03,2023
Under Armour,UA RUSH,Apparel,JW30LMMA,PROD4200,2023-09-08,2,337.7,Kansas,2023-09,2023
Under Armour,Project Rock,Accessories,1TSYK1GN,PROD1439,2023-08-21,5,867.45,Iowa,2023-08,2023
Puma,Ignite Flash,Accessories,20TFSMK9,PROD7772,2023-04-27,3,375.59,Louisiana,2023-04,2023
Adidas,Ultraboost 21,Footwear,FXD8HGMR,PROD4685,2023-05-19,4,1108.29,North Carolina,2023-05,2023
Puma,Suede Classic,Footwear,69WX2WO0,PROD8963,2023-01-25,2,367.78,Virginia,2023-01,2023
Adidas,NMD_R1,Footwear,SFLY5KIZ,PROD3729,2023-09-04,1,291.84,Massachusetts,2023-09,2023
Under Armour,Project Rock,Footwear,2VUL8D44,PROD2768,2023-05-02,1,267.0,Massachusetts,2023-05,2023
Under Armour,Charged Assert 9,Accessories,HW6N9XTU,PROD4032,2023-08-16,3,631.48,Iowa,2023-08,2023
Puma,RS-X³ Puzzle,Apparel,V4QZSUXW,PROD1878,2023-08-14,1,148.8,Montana,2023-08,2023
Under Armour,UA RUSH,Footwear,LD2BZTEH,PROD6722,2023-09-19,3,328.88,Louisiana,2023-09,2023
Nike,Metcon 7,Accessories,F9F5JLVK,PROD6505,2023-12-15,1,64.42,Arizona,2023-12,2023
Puma,RS-X³ Puzzle,Equipment,6X8KBE9W,PROD5495,2023-01-07,1,288.9,Georgia,2023-01,2023
Puma,RS-X³ Puzzle,Equipment,UC387L7T,PROD3508,2023-12-08,3,649.89,Indiana,2023-12,2023
Nike,ZoomX Vaporfly,Equipment,D7ABCHX9,PROD4723,2023-08-21,4,278.16,Idaho,2023-08,2023
Under Armour,Charged Assert 9,Accessories,9PM6TSSY,PROD3656,2023-06-18,4,521.72,Indiana,2023-06,2023
Under Armour,UA RUSH,Equipment,WV6G1CE3,PROD4922,2023-05-15,4,592.13,New Hampshire,2023-05,2023
Nike,ZoomX Vaporfly,Equipment,ZQ5YG9DX,PROD7436,2023-03-07,1,150.84,Georgia,2023-03,2023
Adidas,NMD_R1,Equipment,C7HHKJU8,PROD6925,2023-06-21,2,203.77,Maine,2023-06,2023
Nike,Metcon 7,Footwear,NMGB9K2W,PROD6006,2023-01-02,5,877.54,Washington,2023-01,2023
Under Armour,Charged Assert 9,Equipment,AVZSJHI0,PROD1772,2023-04-17,2,263.11,Pennsylvania,2023-04,2023
Adidas,Gazelle,Equipment,K5KP3W3L,PROD3796,2023-09-16,5,1487.66,Maryland,2023-09,2023
Puma,Ignite Flash,Apparel,C8FRK9W5,PROD4523,2023-12-20,1,138.71,California,2023-12,2023
Nike,Air Max 270,Equipment,I2QG5BLX,PROD5549,2023-08-04,1,122.75,Arkansas,2023-08,2023
Under Armour,Charged Assert 9,Accessories,HKXHPHE1,PROD4381,2023-06-23,2,242.33,New Mexico,2023-06,2023
Under Armour,Charged Assert 9,Apparel,YV8FRTJ5,PROD8266,2023-06-08,1,95.45,Louisiana,2023-06,2023
Nike,Air Max 270,Apparel,KO4ZHAW3,PROD5156,2023-09-24,2,548.46,Iowa,2023-09,2023
Nike,Metcon 7,Equipment,J5HJNFKZ,PROD2247,2023-03-07,4,1025.72,Wisconsin,2023-03,2023
Under Armour,UA RUSH,Accessories,DHT8MWNE,PROD9173,2023-04-05,5,878.79,Mississippi,2023-04,2023
Under Armour,Charged Assert 9,Accessories,8IQC1NF4,PROD1133,2023-06-07,5,840.56,Texas,2023-06,2023
Puma,Cali Star Metallic,Apparel,OWEBS8SF,PROD4992,2023-10-12,1,160.98,South Dakota,2023-10,2023
Under Armour,Charged Assert 9,Equipment,N6D55ZB0,PROD7687,2023-12-08,3,896.37,Minnesota,2023-12,2023
Puma,Ignite Flash,Apparel,XOMCL0LQ,PROD5305,2023-03-26,3,618.11,Delaware,2023-03,2023
Adidas,Ultraboost 21,Footwear,YBUU5MQW,PROD1751,2023-03-01,1,57.55,New Mexico,2023-03,2023
Puma,RS-X³ Puzzle,Accessories,CIL32DFD,PROD6194,2023-01-19,1,251.16,Connecticut,2023-01,2023
Under Armour,HOVR Phantom 2,Equipment,PEILLCRG,PROD9685,2023-12-22,2,362.41,Nevada,2023-12,2023
Adidas,NMD_R1,Accessories,NHS02OTL,PROD9392,2023-01-26,3,620.11,Illinois,2023-01,2023
Puma,Ignite Flash,Accessories,PR166WM4,PROD1354,2023-06-11,3,705.07,New York,2023-06,2023
Under Armour,HOVR Phantom 2,Apparel,08CNS6JP,PROD6712,2023-10-02,3,836.49,Ohio,2023-10,2023
Nike,Air Max 270,Footwear,JJJ2XXHW,PROD4604,2023-11-06,3,437.25,Rhode Island,2023-11,2023
Under Armour,UA RUSH,Apparel,Y38GW501,PROD7494,2023-11-15,2,595.81,Idaho,2023-11,2023
Puma,RS-X³ Puzzle,Footwear,X8VA4893,PROD7841,2023-10-15,1,139.36,Idaho,2023-10,2023
Under Armour,Project Rock,Equipment,ZLRMA9U4,PROD2373,2023-07-01,5,697.91,Georgia,2023-07,2023
Nike,Air Max 270,Footwear,BU6QQU9K,PROD7404,2023-11-12,3,773.23,Wyoming,2023-11,2023
Adidas,Ultraboost 21,Accessories,S513H2LB,PROD1936,2023-10-06,5,342.72,Nebraska,2023-10,2023
Puma,Suede Classic,Accessories,MM33EUQ2,PROD5365,2023-09-20,5,539.23,Maryland,2023-09,2023
Puma,Ignite Flash,Footwear,N5KM539X,PROD3088,2023-06-24,1,249.2,South Carolina,2023-06,2023
Adidas,Superstar,Apparel,SB0PU56O,PROD8798,2023-04-02,4,726.14,Arkansas,2023-04,2023
Puma,Suede Classic,Apparel,6EG1K1YY,PROD6453,2023-12-12,3,211.98,Indiana,2023-12,2023
Nike,Air Max 270,Apparel,CDGDGIWL,PROD1203,2023-09-28,2,374.71,Massachusetts,2023-09,2023
Under Armour,Project Rock,Footwear,50CY3NQH,PROD7523,2023-01-05,3,275.61,Kentucky,2023-01,2023
Puma,Ignite Flash,Apparel,E4VJBP5P,PROD4870,2023-08-16,2,413.91,Nebraska,2023-08,2023
Adidas,Gazelle,Accessories,035ZH14H,PROD2397,2023-07-01,3,303.74,Kansas,2023-07,2023
Nike,Metcon 7,Apparel,C0YP478H,PROD3661,2023-10-27,1,67.89,California,2023-10,2023
Under Armour,UA RUSH,Accessories,IS9GV7CO,PROD6474,2023-01-10,4,648.05,Oregon,2023-01,2023
Nike,Metcon 7,Equipment,SGKR18ZR,PROD8640,2023-04-11,4,463.97,West Virginia,2023-04,2023
Under Armour,UA RUSH,Equipment,GAZPKZYE,PROD6891,2023-11-23,4,961.58,Idaho,2023-11,2023
Under Armour,Charged Assert 9,Apparel,EKT9XNUX,PROD8902,2023-02-12,4,437.98,Oklahoma,2023-02,2023
Adidas,Gazelle,Accessories,NNHWRBCF,PROD2511,2023-03-04,4,667.35,New York,2023-03,2023
Under Armour,HOVR Phantom 2,Footwear,IRW2388D,PROD3853,2023-10-26,3,489.9,Ohio,2023-10,2023
Adidas,NMD_R1,Apparel,VJ6ZYYPO,PROD4491,2023-03-18,4,405.72,Tennessee,2023-03,2023
